"id","especie","nombre_cientifico","longitud","latitud","fecha","observador","cantidad","comportamiento","foto1","foto","fuente","residencia","observacion"
"AVE001","Benteveo","Pitangus sulphuratus",-57.680154,-38.056791,2026-08-08,,,,"Sabina.jpg","Benteveo.jpg",,"Permanente","Todo el año"
"AVE002","Zorzal colorado","Turdus rufiventris",-57.680521,-38.056472,2026-08-08,,,,"Sabina.jpg","Zorzalcolorado.JPG",,"Permanente","Todo el año"
"AVE003","Biguá","Nannopterum brasilianum",,,,,,,,,,"Permanente","Todo el año"
"AVE004","Cabecita negra","Spinus magellanicus",,,,,,,,,,"Permanente","Todo el año (Más visible en Otoño/Invierno)"
"AVE005","Calandria","Mimus saturninus",-57.678601,-38.056951,,,,,,"Calandria.jpg",,"Permanente","Todo el año"
"AVE006","Carancho","Caracara plancus",,,,,,,,"Carancho.JPG",,"Permanente","Todo el año"
"AVE007","Carpintero campestre","Colaptes campestris",-57.680219,-38.057253,,,,,"Sabina.jpg",,,"Permanente","Todo el año"
"AVE008","Chiflón","Syrigma sibilatrix",,,,,,,,,,"Permanente / Visitante estival","Todo el año (Mayor abundancia en Primavera/Verano)"
"AVE009","Chimango","Milvago chimango",-57.679961,-38.055589,,,,,"Sabina.jpg","Chimango.JPG",,"Permanente","Todo el año"
"AVE010","Chingolo","Zonotrichia capensis",-57.681131,-38.055318,,,,,"Sabina.jpg","Chingolo.JPG",,"Permanente","Todo el año"
"AVE011","Colibrí común","Chlorostilbon lucidus",,,,,,,,,,"Permanente","Todo el año"
"AVE012","Colibrí garganta blanca","Leucochloris albicollis",,,,,,,,,,"Visitante invernal / Escaso","Otoño e Invierno"
"AVE013","Corbatita","Sporophila caerulescens",,,,,,,,,,"Migratorio estival","Primavera y Verano"
"AVE014","Cotorra","Myiopsitta monachus",,,,,,,,,,"Permanente","Todo el año"
"AVE015","Cuervillo cara pelada","Phimosus infuscatus",,,,,,,,,,"Permanente","Todo el año"
"AVE016","Cuervillo de cañada","Plegadis chihi",,,,,,,,,,"Permanente / Movimientos locales","Todo el año"
"AVE017","Gavilán mixto","Parabuteo unicinctus",-57.683277,-38.053451,,,,,"Sabina.jpg","GavilanMixto.jpg",,"Permanente","Todo el año"
"AVE018","Gaviota cocinera","Larus dominicanus",,,,,,,,,,"Permanente","Todo el año"
"AVE019","Golondrina","Progne chalybea",,,,,,,,,,"Migratorio estival","Primavera y Verano"
"AVE020","Golondrina tijerita","Hirundo rustica",,,,,,,,,,"Migratorio estival","Primavera y Verano"
"AVE021","Gorrión","Passer domesticus",-57.682054,-38.055082,,,,,"Sabina.jpg","Gorrion.JPG",,"Permanente","Todo el año"
"AVE022","Halcón aplomado","Falco femoralis",,,,,,,,,,"Permanente","Todo el año"
"AVE023","Halconcito colorado","Falco sparverius",,,,,,,,,,"Permanente","Todo el año"
"AVE024","Hornero","Furnarius rufus",-57.679361,-38.057346,,,,,"Sabina.jpg","Hornero.JPG",,"Permanente","Todo el año"
"AVE025","Jilguero","Sicalis flaveola",,,,,,,,,,"Permanente","Todo el año"
"AVE026","Lechucita de las vizcacheras","Athene cunicularia",-57.684317,-38.05569,,,,,"Sabina.jpg","LechucitaVizcachera.JPG",,"Permanente","Todo el año"
"AVE027","Lechuza de campanario","Tyto alba",,,,,,,,,,"Permanente","Todo el año"
"AVE028","Milano blanco","Elanus leucurus",,,,,,,,,,"Permanente","Todo el año"
"AVE029","Músico","Agelaioides badius",,,,,,,,,,"Permanente","Todo el año"
"AVE030","Paloma doméstica","Columba livia",,,,,,,,,,"Permanente","Todo el año"
"AVE031","Pecho amarillo","Pseudoleistes virescens",-57.682547,-38.057103,,,,,"Sabina.jpg","PechoAmarillo.JPG",,"Permanente","Todo el año"
"AVE032","Pecho colorado","Leistes superciliaris",,,,,,,,,,"Migratorio estival","Primavera y Verano"
"AVE033","Picazuro","Patagioenas picazuro",,,,,,,,"Picazuro.JPG",,"Permanente","Todo el año"
"AVE034","Piojito","Serpophaga subcristata",,,,,,,,,,"Permanente","Todo el año"
"AVE035","Pirincho","Guira guira",-57.682281,-38.057196,,,,,"Sabina.jpg","Pirincho.JPG",,"Permanente","Todo el año"
"AVE036","Ratona","Troglodytes aedon",,,,,,,,,,"Permanente","Todo el año"
"AVE037","Suirirí real","Tyrannus melancholicus",-57.685511,-38.05434,,,,,"Sabina.jpg","Suiriríreal.JPG",,"Migratorio estival","Primavera y Verano"
"AVE038","Tacuarita azul","Polioptila dumicola",,,,,,,,,,"Permanente","Todo el año"
"AVE039","Taguató","Rupornis magnirostris",,,,,,,,,,"Permanente","Todo el año"
"AVE040","Tero común","Vanellus chilensis",-57.68124,-38.055633,,,,,"Sabina.jpg","Tero.JPG",,"Permanente","Todo el año"
"AVE041","Tijereta","Tyrannus savana",-57.683684,-38.054685,,,,,"Sabina.jpg","TyrannusSavana.jpg",,"Migratorio estival","Primavera y Verano (Emblemático de Verano)"
"AVE042","Torcacita","Columbina picui",,,,,,,,,,"Permanente","Todo el año"
"AVE043","Torcaza","Zenaida auriculata",,,,,,,,"Torcaza.JPG",,"Permanente","Todo el año"
"AVE044","Tordo pico corto","Molothrus bonariensis",,,,,,,,,,"Permanente","Todo el año"
"AVE045","Tordo renegrido","Molothrus bonariensis",-57.682558,-38.055817,,,,,"Sabina.jpg","Tordorenegrido.JPG",,"Permanente","Todo el año"
"AVE046","Zorzal","Turdus amaurochalinus",,,,,,,,,,"Migratorio interno / Permanente","Todo el año (Más abundante en Otoño/Invierno)"
