"ID","nombre_comun","nombre_cientifico","longitud","latitud","continente","año_plantacion","foto","familia","origen","altura_m","diametro_cm","estado_sanitario","floracion","fructificacion","observaciones","sector","id_relev","destacado","ficha","continente_norm","grupo","nativo_exotico","caduco_perenne","slug"
"ARB001","Sabina de Virginia","Sabina virginiana (L.) Antoine",-57.680154,-38.056791,"América del Norte",2004,"Sabina.jpg","Cupressaceae","E.E.U.U",,,,,,,,"A1",1,"sabina","América del Norte","Conífera",,,"sabina"
"ARB002","Pino","Pinus sp.",-57.680521,-38.056472,"Hemisferio Norte / Variable",,,"Pinaceae","-",,,,,,,,"A2",,,"Hemisferio Norte","Conífera",,,"pino"
"ARB003","Roble común","Quercus robur L.",-57.680555,-38.056541,"Europa / Asia Occidental",,"Quercusrobur.jpg","Fagaceae","Europa",,,,,,,,"A3",1,"roblecomun","Varias regiones",,,,"roblecomun"
"ARB004","Falso muérdago","Ilex aquifolium L.",-57.680685,-38.056569,"Europa / África del Norte / Asia",,"Falsomuerdago.jpg",,"Europa",,,,,,,,"A4",,,"Varias regiones",,,,"falso-muerdago"
"ARB005","Cedro del Himalaya","Cedrus deodara (Roxb. ex D. Don) G. Don",-57.680737,-38.056549,"Asia",,"Cedroverdedeodara.jpg","Pinaceae","Asia",,,,,,,,"A5",1,"cedrodelhimalaya","Asia","Conífera",,,"cedrodelhimalaya"
"ARB006","Casuarina","Casuarina equisetifolia L.",-57.680856,-38.056437,"Hemisferio Norte / Variable",,,"Casuarinaceae","Australia",,,,,,,,"A6",,,"Hemisferio Norte",,,,"casuarina-arb006"
"ARB007","Falso laurel","Nerium oleander L.",-57.681121,-38.056372,"Europa (Mediterráneo) / Asia",,,"Apocynaceae","Europa-Asia",,,,,,,,"A7",,,"Varias regiones",,,,"falso-laurel"
"ARB008","Libocedro de California","Calocedrus decurrens (Torr.) Florin",-57.68099,-38.056239,"América del Norte",,,"Cupressaceae","E.E.U.U",,,,,,,,"A8",,,"América del Norte","Conífera",,,"libocedro-de-california"
"ARB009","Cedro azul","Cedrus atlantica (Endl.) Manetti ex Carrière",-57.680907,-38.056201,"África (Norte)",,"Cedroazul.jpg","Pinaceae","África-Europa",,,,,,,,"A9",1,"cedroazul","África","Conífera",,,"cedroazul"
"ARB010","-","-",-57.680894,-38.056054,"-",,,"Myrtaceae","-",,,,,,,,"A10",,,"Sin dato",,,,"arb010"
"ARB011",,"Eucalyptus globulus Labill.",-57.680572,-38.056331,"Oceanía (Australia)",,"Eucaliptoaustraliano.jpg","Myrtaceae","Australia",,,,,,,,"A11",,,"Oceanía",,,,"arb011"
"ARB012","Cipres","Cupressus sp.",-57.68043,-38.056329,"Hemisferio Norte / Variable",,,"Cupressaceae","-",,,,,,,,"A12",,,"Hemisferio Norte","Conífera",,,"cipres"
"ARB013","Roble rojo americano","Quercus rubra L.",-57.679866,-38.056373,"América del Norte",,"Roblerojoamericano.jpg","Fagaceae","Europa",,,,,,,,"A13",1,"roblerojo","América del Norte",,,,"roblerojo"
"ARB014","Abeto","Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.",-57.679765,-38.056551,"América (del Norte y del Sur)",,"Abeto.jpg","Pinaceae","E.E.U.U",,,,,,,,"A14",1,"abeto","América","Conífera",,,"abeto"
"ARB015",,"Picea sp.",-57.679769,-38.056644,"-",,,"Pinaceae","-",,,,,,,,"A15",,,"Sin dato","Conífera",,,"arb015"
"ARB016","Limpiatubos","Callistemon imperialis",-57.679967,-38.056727,"América del Sur",1988,"Limpiatubos.jpg","Myrtaceae","Australia",,,,,,,,"A16",1,"limpiatubos","América del Sur",,,,"limpiatubos"
"ARB017","Abelia","Abelia x grandiflora L.",-57.6801,-38.056678,"Asia (Origen hortícola/Híbrido)",,,"Caprifoliaceae","-",,,,,,,,"A17",,,"Origen hortícola/híbrido",,,,"abelia"
"ARB018","Crataegus","Crataegus sp.",-57.680508,-38.056844,"Hemisferio Norte / Variable",,"Crataegus.jpg","Rosaceae","-",,,,,,,,"A18",,,"Hemisferio Norte",,,,"crataegus"
"ARB019","Magnolia","Magnolia grandiflora L.",-57.680232,-38.057062,"América del Norte",,"Magnolia.jpg","Magnoliaceae","E.E.U.U",,,,,,,,"A19",,,"América del Norte",,,,"magnolia"
"ARB020","Plátano","Platanus x hispanica",-57.680527,-38.057076,"Europa / Origen Híbrido",,"Platanus.jpg","Platanaceae","Europa",,,,,,,,"A20",,,"Origen hortícola/híbrido",,,,"platano"
"ARB021","Tilo","Tilia sp.",-57.680583,-38.057192,"Hemisferio Norte / Variable",1990,"Tilo.jpg","Malvaceae","-",,,,,,,,"A21",,,"Hemisferio Norte",,,,"tilo"
"ARB022","Araucaria Australiana","Araucaria bidwillii Hook.",-57.680885,-38.056909,"Oceanía (Australia)",,"Araucaria.jpg","Araucariaceae","Australia",,,,,,,,"A22",1,"araucariaaustraliana","Oceanía","Conífera",,,"araucariaaustraliana-arb022"
"ARB023","Ciprés de Monterrey","Cupressus macrocarpa var. lutea topacio",-57.681064,-38.05684,"América del Norte",,,"Cupressaceae","E.E.U.U",,,,,,,,"A23",,,"América del Norte","Conífera",,,"cipres-de-monterrey"
"ARB024","Cipreses","Cupressus sp.",-57.681113,-38.056934,"Hemisferio Norte / Variable",,,"Cupressaceae","-",,,,,,,,"A24",,,"Hemisferio Norte","Conífera",,,"cipreses"
"ARB025","Casuarina","Casuarina equisetifolia L.",-57.68126,-38.056656,"Hemisferio Norte / Variable",,,"Casuarinaceae","Australia",,,,,,,,"A25",,,"Hemisferio Norte",,,,"casuarina-arb025"
"ARB026","Encina","Quercus baloot Griff.",-57.680409,-38.055929,"Europa (Mediterráneo) / África del Norte",,,"Fagaceae","Europa",,,,,,,,"A26",1,"encina","Varias regiones",,,,"encina"
