"id","familia","nombre_cientifico","nombre_comun","origin","conservation"
"A1","Cupressaceae","Sabina virginiana (L.) Antoine","Sabina de Virginia","América del Norte",""
"A2","Pinaceae","Pinus ponderosa","Pino","",""
"A3","Fagaceae","Quercus robur L.","Roble común","Varias regiones","LC"
"A4","—","Ilex aquifolium L.","Falso muérdago","Varias regiones","LC"
"A5","Pinaceae","Cedrus deodara (Roxb. ex D. Don) G. Don","Cedro del Himalaya","Asia","LC"
"A6","Casuarinaceae","Casuarina equisetifolia L.","Casuarina","Hemisferio Norte",""
"A7","Apocynaceae","Nerium oleander L.","Falso laurel","Varias regiones",""
"A8","Cupressaceae","Calocedrus decurrens (Torr.) Florin","Libocedro de California","América del Norte","LC"
"A9","Pinaceae","Cedrus atlantica (Endl.) Manetti ex Carrière","Cedro azul","África","EN"
"A11","Myrtaceae","Eucalyptus globulus Labill.","","Oceanía","LC"
"A12","Cupressaceae","Cupressus sp.","Cipres","",""
"A13Jb1 Jb14","Fagaceae","Quercus rubra L.","Roble rojo americano","América del Norte","LC"
"A14","Pinaceae","Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.","Abeto","América","LC"
"A15Jb2","Pinaceae","Picea sp.","","",""
"A16","Myrtaceae","Callistemon imperialis","Limpiatubos","América del Sur",""
"A17","Caprifoliaceae","Abelia x grandiflora L.","Abelia","",""
"A18","Rosaceae","Crataegus sp.","","",""
"A19","Magnoliaceae","Magnolia grandiflora L.","Magnolia","América del Norte","LC"
"A20","Platanaceae","Platanus x hispanica","Plátano","",""
"A21","Malvaceae","Tilia sp.","Tilo","",""
"A22","Araucariaceae","Araucaria bidwillii Hook.","Araucaria Australiana","Oceanía","LC"
"A23","Cupressaceae","Cupressus macrocarpa var. lutea topacio","","América del Norte",""
"A25","Casuarinaceae","Casuarina equisetifolia L.","Casuarina","Hemisferio Norte",""
"A26","Fagaceae","Quercus baloot Griff.","Encina","Varias regiones","LC"
"A27","Pinaceae","Pinus patula Schltdl. & Cham.","Pino mexicano amarillo","Varias regiones",""
"A28","Araucariaceae","Araucaria bidwillii Hook.","Araucaria Australiana","Oceanía","LC"
"A29","Salicaceae","Populu alba L.","Álamo blanco","",""
"A30","Sapindaceae","Aesculus hippocastanum L.","Castaño de Indias","Europa","VU"
"A31Jb14","Lauraceae","Cinnamomum camphora","Alcanforero","Varias regiones",""
"A32","Cupressaceae","Cryptomeria japonica (Thunb. ex L. f.) D. Don","Cedro japonés","Asia","NT"
"A33","Altingiaceae","Liquidambar sp.","Liquidambar","",""
"A34Jb28","Cupressaceae","Sequoia sempervirens (D.Don) Endl.","Secuoya roja","América del Norte","EN"
"A34","Cupressaceae","Sequoiadendron giganteum (Lindl.)","Secuoya gigante","América del Norte","EN"
"A35","Cupressaceae","Taxodium ?distichum var. mexicanum (Carrière) Gordon & Glend.","Ciprés mexicano.","",""
"Jb36","Cupressaceae","Taxodium ?distichum var. mexicanum (Carrière) Gordon & Glend.","Ciprés mexicano.","",""
"A36","Cupressaceae","Austrocedrus chilensis (D.Don) Pic.Serm. & Bizzarri","Ciprés de la cordillera","América del Sur",""
"A37","Pinaceae","Larix decidua Mill.","Alerce europeo","Varias regiones",""
"A38","Rhamnaceae","Ceanothus thyrsiflorus Eschw.","Ceanoto","América del Norte",""
"A39","Hypericaceae","Hypericum × moserianum André","Hipérico","",""
"A40Jb31","Cannabaceae","Celtis tala Gillies ex Planch.","Tala","Cosmopolita",""
"A41","Araucariaceae","Agathis dammara (Lamb.) Poir.","Árbol de Cristal","Asia",""
"A42","Magnoliaceae","Liriodendron tulipifera L.","Tulipanero","América del Norte","LC"
"Jb5","Rosaceae","Spiraea cantoniensis Lour.","Corona de Novia","Asia",""
"Jb8","Sapindaceae","Acer palmatum Thunb.","Acer Japonés","Asia",""
"Jb10","Sapindaceae","Dodonaea viscosa Jacq.","Candela","Cosmopolita",""
"Jb12","Oleaceae","Ligustrum lucidum W.T.Aiton","Ligustro","Asia",""
"Jb16","Fabaceae","Acacia dealbata Link","Acacia mimosa","Oceanía",""
"Jb23","Rosaceae","Pyracantha coccinea M.Roem.","Espino de fuego","Varias regiones",""
"Jb27","Myrtaceae","Eucalyptus cinerea F.Muell. ex Benth.","Eucalipto plateado","Oceanía",""
"Jb29","Pinaceae","Pinus radiata D.Do","Pino insigne","América del Norte","EN"
"Jb30Jb31","Nothofagaceae","Nothofagus spp.","Depende sp.","",""
"Jb34","Ginkgoaceae","Ginkgo biloba L.","Gingko","Asia","EN"
"Jb37","Oleaceae","Fraxinus angustifolia Vahl","Fresno de hoja estrecha","Varias regiones",""
"Jb38","Oleaceae","Fraxinus excelsior L.","Fresno norteño","",""
"Jb49","Fagaceae","Fagus sylvatica L.","Haya común","Europa","LC"
