"ID","nombre_comun","nombre_cientifico","autor","familia","forma_vida","origen","continente","año_plantacion","sector","altura_m","diametro_cm","latitud","longitud"
"ARB001","Sabina de Virginia","Sabina virginiana","(L.) Antoine","Cupressaceae","Conífera","E.E.U.U","América del Norte",2004,,,,-38.056791,-57.680154
"ARB002","Pino","Pinus sp.",,"Pinaceae","Conífera","-","Hemisferio Norte / Variable",,,,,-38.056472,-57.680521
"ARB003","Roble común","Quercus robur","L.","Fagaceae","Árbol latifoliado","Europa","Europa / Asia Occidental",,,,,-38.056541,-57.680555
"ARB004","Falso muérdago","Ilex aquifolium","L.",,"Árbol latifoliado","Europa","Europa / África del Norte / Asia",,,,,-38.056569,-57.680685
"ARB005","Cedro del Himalaya","Cedrus deodara","(Roxb. ex D. Don) G. Don","Pinaceae","Conífera","Asia","Asia",,,,,-38.056549,-57.680737
"ARB006","Casuarina","Casuarina equisetifolia","L.","Casuarinaceae","Árbol latifoliado","Australia","Hemisferio Norte / Variable",,,,,-38.056437,-57.680856
"ARB007","Falso laurel","Nerium oleander","L.","Apocynaceae","Arbusto","Europa-Asia","Europa (Mediterráneo) / Asia",,,,,-38.056372,-57.681121
"ARB008","Libocedro de California","Calocedrus decurrens","(Torr.) Florin","Cupressaceae","Conífera","E.E.U.U","América del Norte",,,,,-38.056239,-57.68099
"ARB009","Cedro azul","Cedrus atlantica","(Endl.) Manetti ex Carrière","Pinaceae","Conífera","África-Europa","África (Norte)",,,,,-38.056201,-57.680907
"ARB010","-","-",,"Myrtaceae","Otro","-","-",,,,,-38.056054,-57.680894
"ARB011",,"Eucalyptus globulus","Labill.","Myrtaceae","Árbol latifoliado","Australia","Oceanía (Australia)",,,,,-38.056331,-57.680572
"ARB012","Cipres","Cupressus sp.",,"Cupressaceae","Conífera","-","Hemisferio Norte / Variable",,,,,-38.056329,-57.68043
"ARB013","Roble rojo americano","Quercus rubra","L.","Fagaceae","Árbol latifoliado","Europa","América del Norte",,,,,-38.056373,-57.679866
"ARB014","Abeto","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","Pinaceae","Conífera","E.E.U.U","América (del Norte y del Sur)",,,,,-38.056551,-57.679765
"ARB015",,"Picea sp.",,"Pinaceae","Conífera","-","-",,,,,-38.056644,-57.679769
"ARB016","Limpiatubos","Callistemon imperialis",,"Myrtaceae","Arbusto","Australia","América del Sur",1988,,,,-38.056727,-57.679967
"ARB017","Abelia","Abelia ×grandiflora","(André) Rehder","Caprifoliaceae","Arbusto","-","Asia (Origen hortícola/Híbrido)",,,,,-38.056678,-57.6801
"ARB018","Crataegus","Crataegus sp.",,"Rosaceae","Arbusto","-","Hemisferio Norte / Variable",,,,,-38.056844,-57.680508
